,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,STATE,D,FEC ID#,Cand_Id,GE WINNER INDICATOR
0,"HEIKES, GERALD L",AK,0.0,REP,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,104,,72.7,1095211.42,1313704.68,Alaska,00,H6AK00268,H6AK00268,
1,"HIBLER, WILLIAM D",AK,0.0,DEM,2016,,28.8,IND,0.0,0,0.35584,1.0,,True,4.0,76440.0,9,,72.7,1088146.58,1083934.9,Alaska,00,H6AK00243,H6AK00243,
2,"HINZ, LYNETTE",AK,0.0,DEM,2016,,28.8,IND,0.0,0,0.35584,0.0,,True,4.0,76440.0,500,,72.7,1088146.58,1083934.9,Alaska,00,H6AK00250,H6AK00250,
3,"KILE, ZACHARY A",AK,0.0,OTH,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,141,,72.7,,,Alaska,00,H6AK00318,H6AK00318,
4,"MCDERMOTT, JIM C",AK,0.0,LIB,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,5,100.00,72.7,,,Alaska,00,H2AK00143,H2AK00143,
5,"SOUPHANAVONG, BERNARD IGNATIUS MR",AK,0.0,NON,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,500,,72.7,,,,,,,
6,"SOUPHANAVONG, BERNIE",AK,0.0,NPA,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,500,,72.7,,,Alaska,00,H6AK00300,H6AK00300,
7,"TINGLEY, JESSE J",AK,0.0,REP,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,66,,72.7,1095211.42,1313704.68,Alaska,00,H6AK00276,H6AK00276,
8,"WATTS, JON BRIGGS",AK,0.0,LIB,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,97,,72.7,,,Alaska,00,H6AK00292,H6AK00292,
9,"WRIGHT, STEPHEN T",AK,0.0,REP,2016,,28.8,IND,0.0,0,0.35584,1.0,,False,4.0,76440.0,33,,72.7,1095211.42,1313704.68,Alaska,00,H6AK00284,H6AK00284,
10,"YOUNG, DONALD E",AK,0.0,REP,2016,,28.8,IND,0.0,1,0.35584,1.0,,False,4.0,76440.0,42,74.29,72.7,1095211.42,1313704.68,Alaska,00,H6AK00045,H6AK00045,W
11,"LINDBECK, STEVE",AK,,DEM,2016,,,IND,0.0,0,,1.0,,True,,,159,,73.3,,,Alaska,00,H6AK00235,H6AK00235,
12,"BYRNE, BRADLEY ROBERTS",AL,1.0,REP,2016,0.38172487299999996,23.3,REP,0.682456787,1,0.3259,1.0,0.4,False,0.0,47083.0,57,100.00,72.5,1366369.77,1171650.28,Alabama,01,H4AL01123,H4AL01123,W
13,"YOUNG JR, LARRY DEAN",AL,1.0,REP,2016,0.38172487299999996,23.3,REP,0.682456787,0,0.3259,1.0,0.4,False,0.0,47083.0,500,,72.5,1366369.77,1171650.28,Alabama,01,H6AL01060,H6AL01060,
14,"GERRITSON, REBECCA (BECKY)",AL,2.0,REP,2016,0.41904415899999997,21.8,REP,0.67405465,0,0.36979,0.0,0.4,False,4.0,42035.0,13,,73.3,1381820.85,1828096.37,Alabama,02,H6AL02142,H6AL02142,
15,"JOHN, ROBERT E JR",AL,2.0,IND,2016,0.41904415899999997,21.8,REP,0.0,0,0.36979,1.0,0.4,False,4.0,42035.0,7,,73.3,,,,,,,
16,"MATHIS, NATHAN",AL,2.0,DEM,2016,0.41904415899999997,21.8,REP,0.32594535,0,0.36979,1.0,0.4,True,4.0,42035.0,49,15.25,73.3,0.0,0.0,Alabama,02,H6AL02167,H6AL02167,
17,"ROBY, MARTHA",AL,2.0,REP,2016,0.41904415899999997,21.8,REP,0.67405465,1,0.36979,0.0,0.4,False,4.0,42035.0,161,100.00,73.3,1381820.85,1828096.37,Alabama,02,H0AL02087,H0AL02087,W
18,"ROGERS, ROBERT L",AL,2.0,REP,2016,0.41904415899999997,21.8,REP,0.67405465,0,0.36979,1.0,0.4,False,4.0,42035.0,7,75.89,73.3,1381820.85,1828096.37,Alabama,02,H6AL02159,H6AL02159,
19,"DICHIARA, LARRY",AL,3.0,REP,2016,0.468938495,21.2,REP,0.662245642,0,0.30541,1.0,0.4,False,0.0,46544.0,58,,72.96667,1137285.01,1069552.06,Alabama,03,H6AL03157,H6AL03157,
20,"ROGERS, MICHAEL DENNIS",AL,3.0,REP,2016,0.468938495,21.2,REP,0.662245642,1,0.30541,1.0,0.4,False,0.0,46544.0,1,75.89,72.96667,1137285.01,1069552.06,Alabama,03,H2AL03032,H2AL03032,W
21,"SMITH, JESSE TREMAIN",AL,3.0,DEM,2016,0.468938495,21.2,REP,0.337754358,0,0.30541,1.0,0.4,True,0.0,46544.0,66,100.00,72.96667,9810.0,7348.0,Alabama,03,H4AL03061,H4AL03061,
22,"ADERHOLT, ROBERT BROWN",AL,4.0,REP,2016,0.22470321199999999,16.3,REP,1.0,1,0.11638,1.0,0.4,False,0.0,41110.0,7,100.00,71.9,1433640.67,1387066.28,Alabama,04,H6AL04098,H6AL04098,W
23,"NORRIS, PHILLIP",AL,4.0,REP,2016,0.22470321199999999,16.3,REP,1.0,0,0.11638,1.0,0.4,False,0.0,41110.0,71,,71.9,1433640.67,1387066.28,Alabama,04,H6AL04148,H6AL04148,
24,"BOYD, WILLIE 'WILL' DR. JR.",AL,5.0,DEM,2016,0.356304314,30.5,REP,0.0,0,0.24026,1.0,0.4,True,4.0,51690.0,118,,71.5,61121.93,60771.33,Alabama,05,H6AL05202,H6AL05202,
25,"BROOKS, MO",AL,5.0,REP,2016,0.356304314,30.5,REP,0.747283647,1,0.24026,1.0,0.4,False,4.0,51690.0,500,80.32,71.5,475499.82,118998.4,Alabama,05,H0AL05163,H0AL05163,W
26,"PALMER, GARY",AL,6.0,REP,2016,0.420412134,35.2,REP,0.762724702,1,0.21515,1.0,0.4,False,4.0,61413.0,47,19.73,72.17368,1201854.52,739386.69,Alabama,06,H4AL06098,H4AL06098,W
27,"PUTMAN, DAVID",AL,6.0,DEM,2016,0.420412134,35.2,REP,0.237275298,0,0.21515,1.0,0.4,True,4.0,61413.0,4,,72.17368,84978.52,84978.52,Alabama,06,H6AL06127,H6AL06127,
28,"BISHOP, CHRISTOPHER ANDREW",AL,7.0,IND,2016,0.528870156,19.1,REP,0.0,0,0.66991,1.0,0.4,False,,34664.0,2,,72.69048,,,,,,,
29,"SEWELL, TERRYCINA ANDREA",AL,7.0,DEM,2016,0.528870156,19.1,REP,1.0,1,0.66991,0.0,0.4,True,,34664.0,500,83.91,72.69048,1613551.94,1070489.9,Alabama,07,H0AL07086,H0AL07086,W
30,"CRAWFORD, ERIC ALAN RICK",AR,1.0,REP,2016,0.36311524100000003,15.7,REP,0.632536075,1,0.22283000000000003,1.0,0.37,False,4.0,40492.0,14,100.00,73.3,669501.96,808955.49,Arkansas,01,H0AR01083,H0AR01083,W
31,"WEST, MARK",AR,1.0,LIB,2016,0.36311524100000003,15.7,REP,0.043626692,0,0.22283000000000003,1.0,0.37,False,4.0,40492.0,18,,73.3,,,Arkansas,01,H6AR01114,H6AR01114,
32,"CURRY, DIANNE",AR,2.0,DEM,2016,0.43643818799999995,28.4,REP,0.436004719,0,0.28994000000000003,0.0,0.37,True,0.0,49498.0,500,,73,35789.6,26976.0,Arkansas,02,H6AR02245,H6AR02245,
33,"HAYES, CHRIS",AR,2.0,LIB,2016,0.43643818799999995,28.4,REP,0.044621413,0,0.28994000000000003,1.0,0.37,False,0.0,49498.0,109,,73,,,Arkansas,02,H2AR02061,H2AR02061,
34,"HILL, JAMES FRENCH",AR,2.0,REP,2016,0.43643818799999995,28.4,REP,0.518573295,1,0.28994000000000003,1.0,0.37,False,0.0,49498.0,5,55.08,73,2199131.5,1599714.46,Arkansas,02,H4AR02141,H4AR02141,W
35,"NEELY, CHARLES",AR,2.0,OTH,2016,0.43643818799999995,28.4,REP,0.0,0,0.28994000000000003,1.0,0.37,False,0.0,49498.0,23,,73,,,,,,,
36,"OLREE, BROCK",AR,2.0,REP,2016,0.43643818799999995,28.4,REP,0.518573295,0,0.28994000000000003,1.0,0.37,False,0.0,49498.0,500,,73,2199131.5,1599714.46,Arkansas,02,H6AR02252,H6AR02252,
37,"WESCOTT, MATHEW",AR,2.0,OTH,2016,0.43643818799999995,28.4,REP,0.0,0,0.28994000000000003,1.0,0.37,False,0.0,49498.0,500,,73,,,,,,,
38,"ISAACSON, STEVEN JAY",AR,3.0,LIB,2016,0.321825417,25.6,REP,0.20585539600000002,0,0.16951,1.0,0.37,False,4.0,47903.0,19,,73.7,,,Arkansas,03,H6AR03110,H6AR03110,
39,"LAFRANCE, NATHAN",AR,3.0,LIB,2016,0.321825417,25.6,REP,0.20585539600000002,0,0.16951,1.0,0.37,False,4.0,47903.0,49,,73.7,,,,,,,
40,"WOMACK, STEVE",AR,3.0,REP,2016,0.321825417,25.6,REP,0.7941446040000001,1,0.16951,1.0,0.37,False,4.0,47903.0,159,100.00,73.7,930982.13,567400.63,Arkansas,03,H0AR03055,H0AR03055,W
